Suffix,City,Inhabitant_term,Country
ite,Tokyo,Tokyoite,Japan
n,Jakarta,Jakartan,Indonesia
kar,Mumbai,Mumbaikar,India
n,Manila,Manilan,Philippines
nese,Shanghai,Shanghainese,China
ite,Seoul,Seoulite,South Korea
ene,Cairo,Cairene,Egypt
iya,Dhaka,Dhakaiya,Bangladesh
n,Kolkata,Kolkatan,India
ian,Bangkok,Bangkokian,Thailand
ite,Moscow,Muscovite,Russia
ian,Lagos,Lagosian,Nigeria
ite,Istanbul,Istanbulite,Turkey
ite,Karachi,Karachiite,Pakistan
an,Bangalore,Bangalorean,India
i,Tehran,Tehrani,Iran
ite,Chennai,Chennaiite,India
i,Lahore,Lahori,Pakistan
er,London,Londoner,United Kingdom
ian,Paris,Parisian,France
i,Hyderabad,Hyderabadi,India
ese,Tianjin,Tianjinese,China
ese,Wuhan,Wuhanese,China
nese,Hangzhou,Hangzhounese,China
n,Luanda,Luandan,Angola
an,Chicago,Chicagoan,United States
er,Nanjing,Nanjinger,China
an,Hanoi,Hanoian,Vietnam
kar,Pune,Punekar,India
i,Ahmedabad,Amdavadi,India
n,Bogota,Bogotan,Colombia
ese,Khartoum,Khartoumese,Sudan
er,Hong Kong,Hongkonger,Hong Kong
s,Santiago,Santiaguinos,Chile
i,Surat,Surati,India
i,Baghdad,Baghdadi,Iraq
an,Singapore,Singaporean,Singapore
i,Allahbad,Allahabadi,India
ese,Dalian,Dalianese,China
an,Miami,Miamian,United States
ite,Dallas,Dallasite,United States
ian,Houston,Houstonian,United States
n,Giza,Gizan,Egypt
an,Nairobi,Nairobian,Kenya
n,Philadelphia,Philadelphian,United States
n,Ankara,Ankaran,Turkey
nian,Toronto,Torontonian,Canada
nese,Suzhou,Suzhounese,China
no,Belo Horizonte,belo-horizontino,Brazil
thar,Yangoon,Yangonthar,Myanmar
n,Atlanta,Atlantan,United States
ais,Abidjan,Abidjanais,C̫te d'Ivoire
n,Alexandria,Alexandrian,Egypt
n,Barcelona,Barcelonan,Spain
er,Berlin,Berliner,Germany
ian,Izmir,Izmirian,Turkey
i,Kabul,Kabuli,Afghanistan
i,Mogadishu,Mogadishawi,Somalia
ese,Luzhou,Luzhouese,China
ian,Boston,Bostonian,United States
nese,Shijiazhuang,Shijiazhuangnese,China
i,Amman,Ammani,Jordan
ite,Harbin,Harbinite,China
